2024-05-22 20:00:21,639 - SSL certificate or key file not found. Make sure 'C:\Users\91967\OneDrive\Documents\distributed systems\proj\proj\smtg\server.crt' and 'C:\Users\91967\OneDrive\Documents\distributed systems\proj\proj\smtg\server.key' are in the correct directory.
2024-05-22 20:02:29,982 - SSL certificate or key file not found. Make sure 'C:\Users\91967\OneDrive\Documents\distributed systems\proj\proj\smtg\server.csr' and '/home/akhilesh/Desktop/DS+Comp_sec/cs/server.key' are in the correct directory.
2024-05-22 20:27:35,692 - Server started. Listening on 127.0.0.1:8443
2024-05-22 20:27:35,692 - Using model file path: /home/akhilesh/Desktop/DS+Comp_sec/proj/smtg/trained_chatbot.pkl
2024-05-22 20:27:35,692 - Attempting to load model from /home/akhilesh/Desktop/DS+Comp_sec/proj/smtg/trained_chatbot.pkl
2024-05-22 20:34:31,685 - Connected by ('127.0.0.1', 51126)
2024-05-22 20:34:31,687 - Connected by ('127.0.0.1', 51132)
2024-05-22 20:34:31,690 - Connected by ('127.0.0.1', 51136)
2024-05-22 20:34:31,693 - Connected by ('127.0.0.1', 51144)
2024-05-22 20:34:31,698 - Connected by ('127.0.0.1', 51146)
2024-05-22 20:34:31,700 - Connected by ('127.0.0.1', 51154)
2024-05-22 20:34:31,703 - Connected by ('127.0.0.1', 51160)
2024-05-22 20:34:31,718 - Connected by ('127.0.0.1', 51166)
2024-05-22 20:34:31,722 - Connected by ('127.0.0.1', 51170)
2024-05-22 20:34:31,725 - Connected by ('127.0.0.1', 51186)
2024-05-22 20:34:31,729 - Connected by ('127.0.0.1', 51190)
2024-05-22 20:34:31,735 - Connected by ('127.0.0.1', 51202)
2024-05-22 20:34:31,738 - Connected by ('127.0.0.1', 51208)
2024-05-22 20:34:31,745 - Connected by ('127.0.0.1', 51214)
2024-05-22 20:34:31,752 - Connected by ('127.0.0.1', 51222)
2024-05-22 20:34:31,756 - Connected by ('127.0.0.1', 51232)
2024-05-22 20:34:31,760 - Connected by ('127.0.0.1', 51246)
2024-05-22 20:34:31,767 - Connected by ('127.0.0.1', 51250)
2024-05-22 20:34:31,771 - Connected by ('127.0.0.1', 51262)
2024-05-22 20:34:31,775 - Connected by ('127.0.0.1', 51274)
2024-05-22 20:34:31,778 - Connected by ('127.0.0.1', 51288)
2024-05-22 20:34:31,781 - Connected by ('127.0.0.1', 51298)
2024-05-22 20:34:31,784 - Connected by ('127.0.0.1', 51308)
2024-05-22 20:34:31,787 - Connected by ('127.0.0.1', 51310)
2024-05-22 20:34:31,790 - Connected by ('127.0.0.1', 51316)
2024-05-22 20:34:31,797 - Connected by ('127.0.0.1', 51332)
2024-05-22 20:34:31,804 - Connected by ('127.0.0.1', 51344)
2024-05-22 20:34:31,807 - Connected by ('127.0.0.1', 51356)
2024-05-22 20:34:31,812 - Connected by ('127.0.0.1', 51366)
2024-05-22 20:34:31,816 - Connected by ('127.0.0.1', 51378)
2024-05-22 20:34:31,819 - Connected by ('127.0.0.1', 51392)
2024-05-22 20:34:31,824 - Connected by ('127.0.0.1', 51400)
2024-05-22 20:34:31,827 - Connected by ('127.0.0.1', 51410)
2024-05-22 20:34:31,831 - Connected by ('127.0.0.1', 51426)
2024-05-22 20:34:31,835 - Connected by ('127.0.0.1', 51440)
2024-05-22 20:34:31,837 - Connected by ('127.0.0.1', 51446)
2024-05-22 20:34:31,840 - Connected by ('127.0.0.1', 51462)
2024-05-22 20:34:31,844 - Connected by ('127.0.0.1', 51466)
2024-05-22 20:34:31,847 - Connected by ('127.0.0.1', 51476)
2024-05-22 20:34:31,849 - Connected by ('127.0.0.1', 51482)
2024-05-22 20:34:31,851 - Connected by ('127.0.0.1', 51488)
2024-05-22 20:34:31,857 - Connected by ('127.0.0.1', 51492)
2024-05-22 20:34:31,861 - Connected by ('127.0.0.1', 51498)
2024-05-22 20:34:31,863 - Connected by ('127.0.0.1', 51500)
2024-05-22 20:34:31,870 - Connected by ('127.0.0.1', 51510)
2024-05-22 20:34:31,874 - Connected by ('127.0.0.1', 51520)
2024-05-22 20:34:31,877 - Connected by ('127.0.0.1', 51526)
2024-05-22 20:34:31,879 - Connected by ('127.0.0.1', 51530)
2024-05-22 20:34:36,647 - Received from ('127.0.0.1', 50700): hello
2024-05-22 20:34:36,764 - Load balancing time: 0.1161s
2024-05-22 20:34:36,892 - Responded to ('127.0.0.1', 50700): Hello, how may I help you
2024-05-22 21:39:14,055 - Server started. Listening on 127.0.0.1:8443
2024-05-22 21:39:14,057 - Using model file path: /home/akhilesh/Desktop/DS+Comp_sec/proj/smtg/trained_chatbot.pkl
2024-05-22 21:39:14,057 - Attempting to load model from /home/akhilesh/Desktop/DS+Comp_sec/proj/smtg/trained_chatbot.pkl
2024-05-22 22:58:12,356 - Server started. Listening on 127.0.0.1:8443
2024-05-22 22:58:12,356 - Using model file path: /home/akhilesh/Desktop/DS+Comp_sec/proj/smtg/trained_chatbot.pkl
2024-05-22 22:58:12,357 - Attempting to load model from /home/akhilesh/Desktop/DS+Comp_sec/proj/smtg/trained_chatbot.pkl
2024-05-22 23:01:30,469 - Connected by ('127.0.0.1', 55954)
2024-05-22 23:01:30,473 - Connected by ('127.0.0.1', 55964)
2024-05-22 23:01:30,477 - Connected by ('127.0.0.1', 55976)
2024-05-22 23:01:30,488 - Connected by ('127.0.0.1', 55986)
2024-05-22 23:01:30,494 - Connected by ('127.0.0.1', 55990)
2024-05-22 23:01:30,507 - Connected by ('127.0.0.1', 55994)
2024-05-22 23:01:30,513 - Connected by ('127.0.0.1', 56010)
2024-05-22 23:01:30,528 - Connected by ('127.0.0.1', 56024)
2024-05-22 23:01:30,531 - Connected by ('127.0.0.1', 56034)
2024-05-22 23:01:30,534 - Connected by ('127.0.0.1', 56050)
2024-05-22 23:01:30,537 - Connected by ('127.0.0.1', 56064)
